transaction_id,transaction_date,transaction_time,vendor_id,vendor_name,amount,currency,invoice_number,payment_method,status
T1001,2024-01-04,09:15:00,V001,Acme Supplies Ltd,1200.50,GBP,INV-2024-001,BACS,posted
T1002,2024-01-04,09:15:00,V001,Acme Supplies Ltd,1200.50,GBP,INV-2024-001,BACS,posted
T1003,2024-01-05,10:30:00,V002,Globex Corporation,8500.00,GBP,INV-2024-002,Cheque,posted
T1004,2024-01-05,14:45:00,V010,Skynet Logistics,3500.00,GBP,,BACS,posted
T1005,2024-01-06,22:10:00,V003,Initech Solutions,4200.00,GBP,INV-2024-003,Card,posted
T1006,2024-01-08,11:00:00,V004,Umbrella Services,1800.00,GBP,INV-2024-004,BACS,posted
T1007,2024-01-08,11:00:00,V004,Umbrella Services,1800.00,GBP,INV-2024-004,BACS,posted
T1008,2024-01-09,16:20:00,V005,Hooli Enterprises,16000.00,GBP,INV-2024-005,Cheque,posted
T1009,2024-01-10,08:00:00,V006,Stark Industries,5000.00,GBP,INV-2024-006,BACS,posted
T1010,2024-01-10,18:30:00,V007,Wayne Enterprises,7500.00,GBP,INV-2024-007,Card,posted
T1011,2024-01-11,12:00:00,V008,Cyberdyne Systems,9000.00,GBP,INV-2024-008,BACS,posted
T1012,2024-01-12,09:45:00,V009,Tyrell Corporation,6500.00,GBP,,Cheque,posted
T1013,2024-01-13,20:05:00,V002,Globex Corporation,11000.00,GBP,INV-2024-009,Card,posted
T1014,2024-01-15,13:30:00,V005,Hooli Enterprises,14500.00,GBP,INV-2024-010,BACS,posted
T1015,2024-01-16,10:00:00,V001,Acme Supplies Ltd,4500.00,GBP,INV-2024-011,BACS,posted
T1016,2024-01-16,10:00:00,V001,Acme Supplies Ltd,4500.00,GBP,INV-2024-011,BACS,posted
T1017,2024-01-17,23:45:00,V003,Initech Solutions,7800.00,GBP,INV-2024-012,Card,posted
T1018,2024-01-18,15:15:00,V010,Skynet Logistics,2800.00,GBP,INV-2024-013,BACS,posted
T1019,2024-01-13,20:05:00,V002,Globex Corporation,11000.00,GBP,INV-2024-009,Card,posted
T1020,2024-01-19,09:30:00,V007,Wayne Enterprises,13000.00,GBP,INV-2024-014,Cheque,posted
T1021,2024-02-01,11:20:00,V001,Acme Supplies Ltd,5200.00,GBP,INV-2024-015,BACS,posted
T1022,2024-02-02,14:00:00,V004,Umbrella Services,2000.00,GBP,INV-2024-016,BACS,posted
T1023,2024-02-03,07:30:00,V006,Stark Industries,21000.00,GBP,INV-2024-017,Cheque,posted
T1024,2024-02-05,17:55:00,V008,Cyberdyne Systems,7900.00,GBP,INV-2024-018,BACS,posted
T1025,2024-02-06,12:10:00,V009,Tyrell Corporation,500.00,GBP,INV-2024-019,BACS,posted
T1026,2024-02-07,19:00:00,V010,Skynet Logistics,3100.00,GBP,INV-2024-020,Card,posted
T1027,2024-02-08,10:45:00,V003,Initech Solutions,7600.00,GBP,INV-2024-021,BACS,posted
T1028,2024-02-09,16:30:00,V005,Hooli Enterprises,15500.00,GBP,INV-2024-022,Cheque,posted
T1029,2024-03-01,09:00:00,V002,Globex Corporation,9500.00,GBP,INV-2024-023,BACS,posted
T1030,2024-03-02,23:10:00,V007,Wayne Enterprises,12500.00,GBP,,Card,posted
